"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"RequirementsSource","RequirementsSource","","","",0,*,"","","","null {[]} {[]}
","Requirements Source","Source reference for Requirements - exactly one of the following must be provided:
- url (url data type): URL to retrieve Requirements definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the Requirements definition
- instance: Inline Requirements instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"RequirementsSource.url","RequirementsSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve Requirements definition from input/ or external source","","","","","","","","","",,,,,"",,,,"RequirementsSource.url",0,1,"",""
"RequirementsSource.canonical","RequirementsSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/Requirements]]}
","Canonical","Canonical URI pointing to the Requirements definition","","","","","","","","","",,,,,"",,,,"RequirementsSource.canonical",0,1,"",""
"RequirementsSource.instance","RequirementsSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/Requirements {[]} {[]}
","Instance","Inline Requirements instance data","","","","","","","","","",,,,,"",,,,"RequirementsSource.instance",0,1,"",""
