"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DecisionSupportLogic","DecisionSupportLogic","","","",0,*,"","","","null {[]} {[]}
","Decision-Support Logic (DAK)","Logical Model for representing Decision-Support Logic from a DAK. Decision-support logic and algorithms to support appropriate service delivery in accordance with WHO clinical, public health and data use guidelines.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DecisionSupportLogic.id","DecisionSupportLogic.id","","","",1,1,"","","","id {[]} {[]}
","Decision Support Logic ID","An identifier for the decision support logic","","","","","","","","","",,,,,"",,,,"DecisionSupportLogic.id",1,1,"",""
"DecisionSupportLogic.description[x]","DecisionSupportLogic.description[x]","","","",0,1,"","","","string {[]} {[]}
uri {[]} {[]}","Description","Description of the decision support logic - either Markdown content or a URI to a Markdown file (absolute or relative to repository root)","","","","","","","","","",,,,,"",,,,"DecisionSupportLogic.description[x]",0,1,"",""
"DecisionSupportLogic.source","DecisionSupportLogic.source","","","",1,1,"","","","uri {[]} {[]}
","Source","Link to a DMN file containing the decision logic. Source URI could be absolute or relative to the root of the DAK","","","","","","","","","",,,,,"",,,,"DecisionSupportLogic.source",1,1,"",""
