"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ProgramIndicatorSource","ProgramIndicatorSource","","","",0,*,"","","","null {[]} {[]}
","Program Indicator Source","Source reference for Program Indicator - exactly one of the following must be provided:
- url (url data type): URL to retrieve ProgramIndicator definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the ProgramIndicator definition
- instance: Inline ProgramIndicator instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ProgramIndicatorSource.url","ProgramIndicatorSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve ProgramIndicator definition from input/ or external source","","","","","","","","","",,,,,"",,,,"ProgramIndicatorSource.url",0,1,"",""
"ProgramIndicatorSource.canonical","ProgramIndicatorSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/ProgramIndicator]]}
","Canonical","Canonical URI pointing to the ProgramIndicator definition","","","","","","","","","",,,,,"",,,,"ProgramIndicatorSource.canonical",0,1,"",""
"ProgramIndicatorSource.instance","ProgramIndicatorSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/ProgramIndicator {[]} {[]}
","Instance","Inline ProgramIndicator instance data","","","","","","","","","",,,,,"",,,,"ProgramIndicatorSource.instance",0,1,"",""
