"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"NonFunctionalRequirement","NonFunctionalRequirement","","","",0,*,"","","","null {[]} {[]}
","Non-Functional Requirement (DAK)","Logical Model for representing non-functional requirement from a DAK","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"NonFunctionalRequirement.id","NonFunctionalRequirement.id","","","",1,1,"","","","id {[]} {[]}
","Requirement ID","An identifier or code for the requirement","","","","","","","","","",,,,,"",,,,"NonFunctionalRequirement.id",1,1,"",""
"NonFunctionalRequirement.requirement","NonFunctionalRequirement.requirement","","","",1,1,"","","","markdown {[]} {[]}
","Requirement","Description of the requirement","","","","","","","","","",,,,,"",,,,"NonFunctionalRequirement.requirement",1,1,"",""
"NonFunctionalRequirement.category","NonFunctionalRequirement.category","","","",0,1,"","","","Coding {[]} {[]}
","Category","Category of the non-functional requirement","","","","","","","","","",,,,,"",,,,"NonFunctionalRequirement.category",0,1,"",""
"NonFunctionalRequirement.classification","NonFunctionalRequirement.classification","","","",0,*,"","","","Coding {[]} {[]}
","Classification","Classification or category of the requirement","","","","","","","","","",,,,,"",,,,"NonFunctionalRequirement.classification",0,*,"",""
