"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"GenericPersonaSource","GenericPersonaSource","","","",0,*,"","","","null {[]} {[]}
","Generic Persona Source","Source reference for Generic Persona - exactly one of the following must be provided:
- url (url data type): URL to retrieve GenericPersona definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the GenericPersona definition
- instance: Inline GenericPersona instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"GenericPersonaSource.url","GenericPersonaSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve GenericPersona definition from input/ or external source","","","","","","","","","",,,,,"",,,,"GenericPersonaSource.url",0,1,"",""
"GenericPersonaSource.canonical","GenericPersonaSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/GenericPersona]]}
","Canonical","Canonical URI pointing to the GenericPersona definition","","","","","","","","","",,,,,"",,,,"GenericPersonaSource.canonical",0,1,"",""
"GenericPersonaSource.instance","GenericPersonaSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/GenericPersona {[]} {[]}
","Instance","Inline GenericPersona instance data","","","","","","","","","",,,,,"",,,,"GenericPersonaSource.instance",0,1,"",""
