"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HealthInterventionsSource","HealthInterventionsSource","","","",0,*,"","","","null {[]} {[]}
","Health Interventions Source","Source reference for Health Interventions - exactly one of the following must be provided:
- url (url data type): URL to retrieve HealthInterventions definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the HealthInterventions definition
- instance: Inline HealthInterventions instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HealthInterventionsSource.url","HealthInterventionsSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve HealthInterventions definition from input/ or external source","","","","","","","","","",,,,,"",,,,"HealthInterventionsSource.url",0,1,"",""
"HealthInterventionsSource.canonical","HealthInterventionsSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/HealthInterventions]]}
","Canonical","Canonical URI pointing to the HealthInterventions definition","","","","","","","","","",,,,,"",,,,"HealthInterventionsSource.canonical",0,1,"",""
"HealthInterventionsSource.instance","HealthInterventionsSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/HealthInterventions {[]} {[]}
","Instance","Inline HealthInterventions instance data","","","","","","","","","",,,,,"",,,,"HealthInterventionsSource.instance",0,1,"",""
