"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"UserScenarioSource","UserScenarioSource","","","",0,*,"","","","null {[]} {[]}
","User Scenario Source","Source reference for User Scenario - exactly one of the following must be provided:
- url (url data type): URL to retrieve UserScenario definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the UserScenario definition
- instance: Inline UserScenario instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"UserScenarioSource.url","UserScenarioSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve UserScenario definition from input/ or external source","","","","","","","","","",,,,,"",,,,"UserScenarioSource.url",0,1,"",""
"UserScenarioSource.canonical","UserScenarioSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/UserScenario]]}
","Canonical","Canonical URI pointing to the UserScenario definition","","","","","","","","","",,,,,"",,,,"UserScenarioSource.canonical",0,1,"",""
"UserScenarioSource.instance","UserScenarioSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/UserScenario {[]} {[]}
","Instance","Inline UserScenario instance data","","","","","","","","","",,,,,"",,,,"UserScenarioSource.instance",0,1,"",""
