"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BusinessProcessWorkflow","BusinessProcessWorkflow","","","",0,*,"","","","null {[]} {[]}
","Business Process Workflow (DAK)","Logical Model for representing Generic Business Processes and Workflows from a DAK. A business process is a set of related activities or tasks performed together to achieve the objectives of the health programme area.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BusinessProcessWorkflow.id","BusinessProcessWorkflow.id","","","",1,1,"","","","id {[]} {[]}
","Business Process ID","An identifier for the business process workflow","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.id",1,1,"",""
"BusinessProcessWorkflow.description[x]","BusinessProcessWorkflow.description[x]","","","",0,1,"","","","string {[]} {[]}
uri {[]} {[]}","Description","Description of the business process - either Markdown content or a URI to a Markdown file (absolute or relative to repository root)","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.description[x]",0,1,"",""
"BusinessProcessWorkflow.source","BusinessProcessWorkflow.source","","","",1,1,"","","","uri {[]} {[]}
","Source","Link to a BPMN file containing the workflow definition. Source URI could be absolute or relative to the root of the DAK","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.source",1,1,"",""
"BusinessProcessWorkflow.scenario","BusinessProcessWorkflow.scenario","","","",0,*,"","","","id {[]} {[]}
","Scenario","References to user scenario IDs related to this workflow","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.scenario",0,*,"",""
"BusinessProcessWorkflow.objectives","BusinessProcessWorkflow.objectives","","","",1,1,"","","","markdown {[]} {[]}
","Objectives","Description of the objectives of the workflow","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.objectives",1,1,"",""
"BusinessProcessWorkflow.task","BusinessProcessWorkflow.task","","","",0,*,"","","","BackboneElement {[]} {[]}
","Task","Tasks within the business process workflow","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.task",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BusinessProcessWorkflow.task.id","BusinessProcessWorkflow.task.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BusinessProcessWorkflow.task.extension","BusinessProcessWorkflow.task.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BusinessProcessWorkflow.task.modifierExtension","BusinessProcessWorkflow.task.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BusinessProcessWorkflow.task.identifier","BusinessProcessWorkflow.task.identifier","","","",1,1,"","","","id {[]} {[]}
","Task ID","Identifier for the task","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.task.identifier",1,1,"",""
"BusinessProcessWorkflow.task.name","BusinessProcessWorkflow.task.name","","","",1,1,"","","","string {[]} {[]}
","Task Name","Name of the task","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.task.name",1,1,"",""
"BusinessProcessWorkflow.task.description","BusinessProcessWorkflow.task.description","","","",1,1,"","","","markdown {[]} {[]}
","Task Description","Description of what the task involves","","","","","","","","","",,,,,"",,,,"BusinessProcessWorkflow.task.description",1,1,"",""
