"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DAK.publisher.name","DAK.publisher.name","","","",1,1,"","","","string {[]} {[]}
","Publisher Name","Name of the publishing organization","","","","","","","","","",,,,,"",,,,"DAK.publisher.name",1,1,"",""
"DAK.publisher.url","DAK.publisher.url","","","",0,1,"","","","url {[]} {[]}
","Publisher URL","URL of the publishing organization","","","","","","","","","",,,,,"",,,,"DAK.publisher.url",0,1,"",""
"DAK.healthInterventions","DAK.healthInterventions","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/HealthInterventionsSource {[]} {[]}
","Health Interventions and Recommendations","Overview of the health interventions and WHO, regional or national recommendations included within the DAK","","","","","","","","","",,,,,"",,,,"DAK.healthInterventions",0,*,"",""
"DAK.personas","DAK.personas","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/GenericPersonaSource {[]} {[]}
","Generic Personas","Depiction of the human and system actors","","","","","","","","","",,,,,"",,,,"DAK.personas",0,*,"",""
"DAK.userScenarios","DAK.userScenarios","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/UserScenarioSource {[]} {[]}
","User Scenarios","Narratives that describe how the different personas may interact with each other","","","","","","","","","",,,,,"",,,,"DAK.userScenarios",0,*,"",""
"DAK.businessProcesses","DAK.businessProcesses","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/BusinessProcessWorkflowSource {[]} {[]}
","Generic Business Processes and Workflows","Business processes and workflows for achieving health programme objectives","","","","","","","","","",,,,,"",,,,"DAK.businessProcesses",0,*,"",""
"DAK.dataElements","DAK.dataElements","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/CoreDataElementSource {[]} {[]}
","Core Data Elements","Data elements required throughout the different points of a workflow","","","","","","","","","",,,,,"",,,,"DAK.dataElements",0,*,"",""
"DAK.decisionLogic","DAK.decisionLogic","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/DecisionSupportLogicSource {[]} {[]}
","Decision-Support Logic","Decision-support logic and algorithms to support appropriate service delivery","","","","","","","","","",,,,,"",,,,"DAK.decisionLogic",0,*,"",""
"DAK.indicators","DAK.indicators","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/ProgramIndicatorSource {[]} {[]}
","Program Indicators","Core set of indicators for decision-making, performance metrics and reporting","","","","","","","","","",,,,,"",,,,"DAK.indicators",0,*,"",""
"DAK.requirements","DAK.requirements","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/RequirementsSource {[]} {[]}
","Functional and Non-Functional Requirements","High-level list of core functions and capabilities that the system must have","","","","","","","","","",,,,,"",,,,"DAK.requirements",0,*,"",""
"DAK.testScenarios","DAK.testScenarios","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/TestScenarioSource {[]} {[]}
","Test Scenarios","Set of test scenarios to validate an implementation of the DAK","","","","","","","","","",,,,,"",,,,"DAK.testScenarios",0,*,"",""
