"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"TestScenarioSource","TestScenarioSource","","","",0,*,"","","","null {[]} {[]}
","Test Scenario Source","Source reference for Test Scenario - exactly one of the following must be provided:
- url (url data type): URL to retrieve TestScenario definition from input/ or external source
- canonical (canonical data type): Canonical URI pointing to the TestScenario definition
- instance: Inline TestScenario instance data","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TestScenarioSource.url","TestScenarioSource.url","","","",0,1,"","","","url {[]} {[]}
","URL","URL to retrieve TestScenario definition from input/ or external source","","","","","","","","","",,,,,"",,,,"TestScenarioSource.url",0,1,"",""
"TestScenarioSource.canonical","TestScenarioSource.canonical","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://smart.who.int/base/StructureDefinition/TestScenario]]}
","Canonical","Canonical URI pointing to the TestScenario definition","","","","","","","","","",,,,,"",,,,"TestScenarioSource.canonical",0,1,"",""
"TestScenarioSource.instance","TestScenarioSource.instance","","","",0,1,"","","","http://smart.who.int/base/StructureDefinition/TestScenario {[]} {[]}
","Instance","Inline TestScenario instance data","","","","","","","","","",,,,,"",,,,"TestScenarioSource.instance",0,1,"",""
