Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	81121	-	0	0	0	0	0	0	20	104	0	0	0	0	0	0	0	1	0	0	75	232	312	0	0	0	0	13	0	1
fsh-generated/resources/ActivityDefinition-SGDecisionTableGuidance.json	926	4	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	11	23	11	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.CommunityHealthWorker.json	1306	1	0	0	2	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	11	11	18	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.DataManager.json	1676	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	11	11	12	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthSystemManager.json	1410	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	11	11	0	0	0	0	0	0	1
fsh-generated/resources/ActorDefinition-DAK.Persona.HealthcareProvider.json	1819	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	11	8	0	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.Person.json	1334	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	24	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.ClientRegistry.json	1036	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	14	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.EMR.json	1290	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	12	7	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.HMIS.json	1097	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	14	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.InteropPlatform.json	1103	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	14	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.LIS.json	1099	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	10	8	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.LMIS.json	991	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	10	7	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-DAK.Persona.System.SurveillanceSystem.json	1026	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	10	11	8	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.BusinessAnalyst.json	1250	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	10	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.ClinicalSME.json	1215	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	9	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.ContentReviewer.json	1387	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	11	7	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.FHIRModeller.json	1344	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	13	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.ProgrammeManager.json	1296	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	11	8	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SGAuthoring.Persona.PublicationManager.json	1323	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	14	7	0	0	0	0	1	0	0
