"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"TestScenario","TestScenario","","","",0,*,"","","","null {[]} {[]}
","Test Scenario (DAK)","Logical Model for representing Test Scenarios from a DAK. A set of test scenarios to validate an implementation of the DAK.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TestScenario.feature","TestScenario.feature","","","",1,1,"","","","uri {[]} {[]}
","Feature File","Link to a feature file containing the test scenarios","","","","","","","","","",,,,,"",,,,"TestScenario.feature",1,1,"",""
"TestScenario.description[x]","TestScenario.description[x]","","","",0,1,"","","","string {[]} {[]}
uri {[]} {[]}","Description","Description of the test scenario - either Markdown content or a URI to a Markdown file (absolute or relative to repository root)","","","","","","","","","",,,,,"",,,,"TestScenario.description[x]",0,1,"",""
